"taskai","vidurkis","trasos","uolos","viso_laipioja_metu","lygis","amzius_kai_pradejo","birth","ugis","svoris","lytis"
"136339","649.23","192","24","8","8A","20","1976-03-10 00:00:00","177","73","0"
"47209","773.92","59","10","7","8A","22","1973-09-09 00:00:00","180","78","0"
"154620","859.00","178","32","7","8A+","17","1984-07-26 00:00:00","165","58","1"
"28806","929.23","30","11","2","8A+","22","1970-12-02 00:00:00","185","73","0"
"536906","738.52","663","92","26","8A+","27","1965-06-22 00:00:00","167","63","0"
"226348","814.20","270","30","13","8A","18","1980-01-09 00:00:00","175","73","0"
"117629","717.25","120","19","10","8A+","23","1973-04-15 00:00:00","177","68","0"
"18198","404.40","42","10","3","6C","25","1975-04-09 00:00:00","193","78","0"
"31700","503.17","63","10","4","7A+","15","1981-10-15 00:00:00","180","68","0"
"485114","664.54","696","47","26","8A+","16","1972-03-27 00:00:00","180","68","0"
"1076406","912.98","1127","118","18","8C+","11","1982-12-10 00:00:00","178","73","0"
"7575","757.50","10","4","1","7B","24","1972-10-16 00:00:00","178","78","0"
"22096","502.18","39","12","4","7B","25","1975-08-24 00:00:00","188","83","0"
"12366","588.86","20","6","3","6C+","22","1978-03-30 00:00:00","178","73","0"
"317159","707.94","435","62","9","8A+","16","1981-12-05 00:00:00","181","68","0"
"174486","876.81","134","40","6","8A+","14","1982-11-05 00:00:00","182","68","0"
"294868","684.15","381","45","12","8A","22","1977-11-10 00:00:00","183","73","0"
"94425","814.01","113","18","7","8A","24","1970-04-24 00:00:00","183","73","0"
"594223","907.21","621","75","24","8B","17","1974-10-15 00:00:00","188","83","0"
"126612","711.30","167","23","3","7C+","19","1976-04-22 00:00:00","183","73","0"
"84323","577.55","127","22","9","7B","18","1972-03-30 00:00:00","186","83","0"
"242554","869.37","279","35","20","8B+","18","1971-09-18 00:00:00","172","63","0"
"63392","546.48","110","6","4","7B","18","1975-05-30 00:00:00","183","78","0"
"27218","533.69","50","8","9","7B","20","1976-09-03 00:00:00","175","73","0"
"200080","390.02","445","24","15","7A+","24","1973-01-11 00:00:00","187","78","0"
"1363268","1092.36","1146","150","19","9A+","16","1981-11-10 00:00:00","178","63","0"
"6798","849.75","8","5","4","8A","24","1969-09-04 00:00:00","168","68","0"
"324396","823.34","385","55","11","8A+","23","1977-06-18 00:00:00","180","73","0"
"118964","837.77","139","24","7","8A+","25","1975-04-18 00:00:00","184","78","0"
"19123","869.23","22","5","6","8B","15","1971-01-06 00:00:00","182","83","0"
"83269","666.15","125","12","7","7C+","24","1969-11-04 00:00:00","194","78","0"
"738397","938.24","674","94","20","8C","21","1969-12-19 00:00:00","180","73","0"
"212588","949.05","211","31","6","8B","19","1975-07-18 00:00:00","179","68","0"
"93911","789.17","116","7","9","8A+","17","1978-03-11 00:00:00","187","73","0"
"16908","845.40","19","3","3","8A","15","1984-06-09 00:00:00","190","83","0"
"61110","694.43","75","6","3","7B+","14","1985-11-24 00:00:00","180","58","0"
"1596664","817.54","1927","103","21","8B","19","1972-04-20 00:00:00","173","73","0"
"152007","485.65","277","23","7","7B","25","1975-12-28 00:00:00","172","58","0"
"258125","695.75","309","21","19","8A","23","1975-05-06 00:00:00","165","63","0"
"36021","610.53","56","6","4","7B","20","1979-06-07 00:00:00","178","68","0"
"4206","382.36","11","2","2","6B","16","1984-10-17 00:00:00","183","78","0"
"397308","926.13","386","74","17","8B+","20","1970-12-18 00:00:00","170","68","0"
"353242","841.05","405","59","13","8B","15","1982-08-13 00:00:00","177","78","0"
"200843","709.69","244","42","10","8A","21","1971-11-03 00:00:00","195","83","0"
"190512","957.35","198","18","11","8A+","18","1978-12-01 00:00:00","165","63","0"
"260469","943.73","268","54","10","8C","15","1973-07-19 00:00:00","185","68","0"
"414455","840.68","436","33","7","8B","14","1980-08-25 00:00:00","193","83","0"
"132156","772.84","166","16","10","8B+","10","1985-03-22 00:00:00","174","73","0"
"301934","705.45","404","66","17","8A+","24","1973-08-16 00:00:00","178","68","0"
"29631","395.08","75","8","3","7A","19","1981-10-12 00:00:00","191","88","0"
"23026","561.61","22","1","4","7A","18","1978-05-03 00:00:00","167","53","0"
"488937","1062.91","445","31","15","9A+","11","1977-08-06 00:00:00","178","63","0"
"428448","975.96","414","89","21","8C","17","1973-07-06 00:00:00","184","68","0"
"333909","932.71","351","58","14","8C","16","1979-12-26 00:00:00","180","73","0"
"269675","802.60","327","50","19","8A","25","1966-07-20 00:00:00","173","63","0"
"23705","640.68","34","6","3","7A+","18","1979-04-20 00:00:00","176","63","0"
"131098","749.13","161","17","12","7C+","23","1972-03-15 00:00:00","168","98","0"
"140408","508.72","265","14","13","8A","21","1974-01-13 00:00:00","182","78","0"
"117529","890.37","121","12","5","8A+","16","1966-12-04 00:00:00","165","53","0"
"10861","493.68","16","4","1","7A","14","1986-01-08 00:00:00","186","63","0"
"150183","1137.75","123","34","7","9A","16","1980-04-07 00:00:00","175","63","0"
"395003","1005.10","359","47","17","8C","7","1978-07-26 00:00:00","175","68","0"
"43223","584.09","72","8","3","7B+","23","1977-07-11 00:00:00","175","68","0"
"49918","745.04","66","3","4","7C+","15","1981-05-29 00:00:00","197","78","0"
"261773","969.53","257","23","16","9A","13","1971-04-28 00:00:00","187","88","0"
"735227","848.99","852","79","28","8A+","17","1969-09-15 00:00:00","186","68","0"
"13706","913.73","15","3","2","8A","17","1976-05-30 00:00:00","173","53","0"
"87578","1183.49","67","16","4","8C+","19","1981-04-20 00:00:00","180","63","0"
"1138117","925.30","980","99","28","8B+","16","1961-05-12 00:00:00","178","73","0"
"697935","680.91","957","61","21","7C+","18","1972-02-21 00:00:00","180","73","0"
"34099","681.98","36","4","6","7B+","22","1976-08-21 00:00:00","165","43","0"
"132391","739.61","163","20","9","8A+","20","1973-08-02 00:00:00","173","63","0"
"88282","767.67","112","23","4","7C+","16","1980-04-13 00:00:00","179","73","0"
